image,name,author,category
/content/drive/My Drive/BookCovers/image_0.jpg,This is Going to Hurt,Adam Kay,Medical
/content/drive/My Drive/BookCovers/image_1.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Medical
/content/drive/My Drive/BookCovers/image_2.jpg,When Breath Becomes Air,Paul Kalanithi,Medical
/content/drive/My Drive/BookCovers/image_3.jpg,The Happiness Trap,Russ Harris,Medical
/content/drive/My Drive/BookCovers/image_4.jpg,Man's Search For Meaning,Viktor E. Frankl,Medical
/content/drive/My Drive/BookCovers/image_5.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_6.jpg,The 8-week Blood Sugar Diet,Michael Mosley,Medical
/content/drive/My Drive/BookCovers/image_7.jpg,The Clever Guts Diet,Michael Mosley,Medical
/content/drive/My Drive/BookCovers/image_8.jpg,12 Rules for Life,Jordan B. Peterson,Medical
/content/drive/My Drive/BookCovers/image_9.jpg,Being Mortal,Atul Gawande,Medical
/content/drive/My Drive/BookCovers/image_10.jpg,Gut,Giulia Enders,Medical
/content/drive/My Drive/BookCovers/image_11.jpg,The Brain That Changes Itself,Norman Doidge,Medical
/content/drive/My Drive/BookCovers/image_12.jpg,Medical Medium Liver Rescue,Anthony William,Medical
/content/drive/My Drive/BookCovers/image_13.jpg,Wreck This Journal,Keri Smith,Medical
/content/drive/My Drive/BookCovers/image_14.jpg,12 Rules for Life,Jordan B. Peterson,Medical
/content/drive/My Drive/BookCovers/image_15.jpg,12 Rules for Life,Jordan B. Peterson,Medical
/content/drive/My Drive/BookCovers/image_16.jpg,Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,Medical
/content/drive/My Drive/BookCovers/image_17.jpg,Medical Medium Thyroid Healing,Anthony William,Medical
/content/drive/My Drive/BookCovers/image_18.jpg,Steal Like an Artist,Austin Kleon,Medical
/content/drive/My Drive/BookCovers/image_19.jpg,Sitting Still Like A Frog,Eline Snel,Medical
/content/drive/My Drive/BookCovers/image_20.jpg,How Not To Die,Michael Greger,Medical
/content/drive/My Drive/BookCovers/image_21.jpg,The Whole-Brain Child,Tina Payne Bryson,Medical
/content/drive/My Drive/BookCovers/image_22.jpg,Birth Skills,Juju Sundin,Medical
/content/drive/My Drive/BookCovers/image_23.jpg,Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,Medical
/content/drive/My Drive/BookCovers/image_24.jpg,Medical Medium Celery Juice,Anthony William,Medical
/content/drive/My Drive/BookCovers/image_25.jpg,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,Medical
/content/drive/My Drive/BookCovers/image_26.jpg,Publication Manual of the American Psychological Association,American Psychological Association,Medical
/content/drive/My Drive/BookCovers/image_27.jpg,Proof of Heaven,Dr. Eben Alexander,Medical
/content/drive/My Drive/BookCovers/image_28.jpg,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Medical
/content/drive/My Drive/BookCovers/image_29.jpg,The Complete Guide to Asperger's Syndrome,Tony Attwood,Medical
/content/drive/My Drive/BookCovers/image_30.jpg,The Checklist Manifesto,Atul Gawande,Medical
/content/drive/My Drive/BookCovers/image_31.jpg,Do No Harm,Henry Marsh,Medical
/content/drive/My Drive/BookCovers/image_32.jpg,The Anatomy Coloring Book,Wynn Kapit,Medical
/content/drive/My Drive/BookCovers/image_33.jpg,The Plant Paradox,Steven R. Gundry,Medical
/content/drive/My Drive/BookCovers/image_34.jpg,Wreck This Journal Everywhere,Keri Smith,Medical
/content/drive/My Drive/BookCovers/image_35.jpg,How to Change Your Mind,Michael Pollan,Medical
/content/drive/My Drive/BookCovers/image_36.jpg,Raising an Emotionally Intelligent Child,John Gottman,Medical
/content/drive/My Drive/BookCovers/image_37.jpg,Allen Carr's Easy Way to Stop Smoking,Allen Carr,Medical
/content/drive/My Drive/BookCovers/image_38.jpg,The Mindful Way through Depression,J. Mark G. Williams,Medical
/content/drive/My Drive/BookCovers/image_39.jpg,Call The Midwife,Jennifer Worth,Medical
/content/drive/My Drive/BookCovers/image_40.jpg,The Dialectical Behavior Therapy Skills Workbook,Matthew McKay,Medical
/content/drive/My Drive/BookCovers/image_41.jpg,The Reality Slap,Russ Harris,Medical
/content/drive/My Drive/BookCovers/image_42.jpg,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,Medical
/content/drive/My Drive/BookCovers/image_43.jpg,Strength Training Anatomy,Frederic Delavier,Medical
/content/drive/My Drive/BookCovers/image_44.jpg,The Brain That Changes Itself,Norman Doidge,Medical
/content/drive/My Drive/BookCovers/image_45.jpg,Lost Ocean,Johanna Basford,Medical
/content/drive/My Drive/BookCovers/image_46.jpg,Mating in Captivity,Esther Perel,Medical
/content/drive/My Drive/BookCovers/image_47.jpg,This is Going to Hurt,Adam Kay,Medical
/content/drive/My Drive/BookCovers/image_48.jpg,You Are the Placebo,Joe Dispenza,Medical
/content/drive/My Drive/BookCovers/image_49.jpg,Radical Acceptance,Tara Brach,Medical
/content/drive/My Drive/BookCovers/image_50.jpg,Awakenings,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_51.jpg,Unnatural Causes,Dr Richard Shepherd,Medical
/content/drive/My Drive/BookCovers/image_52.jpg,Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,Medical
/content/drive/My Drive/BookCovers/image_53.jpg,"DBT Skills Training Manual, Second Edition",Marsha M. Linehan,Medical
/content/drive/My Drive/BookCovers/image_54.jpg,All Cats Have Asperger Syndrome,Kathy Hoopmann,Medical
/content/drive/My Drive/BookCovers/image_55.jpg,Becoming Supernatural,Joe Dispenza,Medical
/content/drive/My Drive/BookCovers/image_56.jpg,Anatomy Trains,Thomas W. Myers,Medical
/content/drive/My Drive/BookCovers/image_57.jpg,Hallucinations,Oliver Sacks,Medical
/content/drive/My Drive/BookCovers/image_58.jpg,Loving What Is,Byron Katie,Medical
/content/drive/My Drive/BookCovers/image_59.jpg,An Introductory Guide to Anatomy & Physiology,Louise Tucker,Medical
/content/drive/My Drive/BookCovers/image_60.jpg,The Body Keeps the Score,Bessel van der Kolk,Medical
/content/drive/My Drive/BookCovers/image_61.jpg,The Muscular System Anatomical Chart,Anatomical Chart Company,Medical
